,zip,num_tracts,percent_ej
384,1835,3,33.333333333333336
385,1840,5,100.0
386,1841,15,93.33333333333333
387,1843,4,75.0
388,1844,11,9.090909090909092
389,1845,6,0.0
390,1850,3,33.333333333333336
391,1851,8,50.0
392,1852,10,50.0
393,1854,9,22.22222222222222
394,1860,1,0.0
395,1862,5,0.0
396,1863,4,0.0
397,1864,2,0.0
398,1867,4,0.0
399,1876,6,0.0
400,1879,3,0.0
401,1880,5,0.0
402,1886,4,0.0
403,1887,4,0.0
404,1890,7,0.0
405,1901,4,100.0
406,1902,15,80.0
407,1904,8,50.0
408,1905,11,54.54545454545455
409,1906,6,0.0
410,1907,5,20.0
411,1908,1,0.0
412,1913,4,0.0
413,1915,7,0.0
414,1921,1,0.0
415,1922,1,0.0
416,1923,5,0.0
417,1929,1,0.0
418,1930,9,33.333333333333336
419,1937,1,0.0
420,1938,3,0.0
421,1940,5,0.0
422,1944,1,0.0
423,1945,4,0.0
424,1949,1,0.0
425,1950,4,0.0
426,1951,1,0.0
427,1952,2,0.0
428,1960,9,11.11111111111111
429,1966,2,0.0
430,1969,1,0.0
431,1970,9,11.11111111111111
432,1982,2,0.0
433,1983,1,0.0
434,1984,1,0.0
435,1985,1,0.0
436,2019,2,0.0
437,2021,4,0.0
438,2025,1,0.0
439,2026,6,0.0
440,2030,1,0.0
441,2032,1,0.0
442,2035,3,0.0
443,2038,5,0.0
